Selection,Pos,Player,Player_ID,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
1st,C,Shaquille O'Neal,0,29,lal,626,630,0.994,125,0,1,67,36.1,27.2,10.7,3,0.6,2,0.579,0,0.555,13.2,0.262,2002
1st,F,Tim Duncan,0,25,sas,626,630,0.994,124,0,0,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,2002
1st,G,Jason Kidd,0,28,njn,601,630,0.954,115,0,0,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14,2002
1st,F,Tracy McGrady,0,22,orl,513,630,0.814,80,0,0,76,38.3,25.6,7.9,5.3,1.6,1,0.451,0.364,0.748,11.5,0.189,2002
1st,G,Kobe Bryant,0,23,lal,507,630,0.805,72,0,0,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199,2002
2nd,F,Kevin Garnett,0,25,min,391,630,0.621,31,0,0,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194,2002
2nd,F,Dirk Nowitzki,0,23,dal,358,630,0.568,22,0,0,76,38,23.4,9.9,2.4,1.1,1,0.477,0.397,0.853,13.4,0.222,2002
2nd,F,Chris Webber,0,28,sac,339,630,0.538,21,0,0,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2,2002
2nd,G,Gary Payton,0,33,sea,284,630,0.451,11,0,0,82,40.3,22.1,4.8,9,1.6,0.3,0.467,0.314,0.797,12.6,0.183,2002
2nd,G,Allen Iverson,0,26,phi,272,630,0.432,12,0,0,60,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126,2002
3rd,F,Paul Pierce,0,24,bos,230,630,0.365,9,0,0,82,40.3,26.1,6.9,3.2,1.9,1,0.442,0.404,0.809,12.9,0.187,2002
3rd,C,Ben Wallace,0,27,det,195,630,0.31,3,0,0,80,36.5,7.6,13,1.4,1.7,3.5,0.531,0,0.423,11.6,0.19,2002
3rd,C,Dikembe Mutombo,0,35,phi,105,630,0.167,0,0,0,80,36.3,11.5,10.8,1,0.4,2.4,0.501,0,0.764,9.6,0.158,2002
3rd,G,Steve Nash,0,27,dal,96,630,0.152,1,0,0,82,34.6,17.9,3.1,7.7,0.6,0,0.483,0.455,0.887,9.9,0.167,2002
3rd,C,Jermaine O'Neal,0,23,ind,78,630,0.124,0,0,0,72,37.6,19,10.5,1.6,0.6,2.3,0.479,0.071,0.688,6.4,0.113,2002
ORV,F,Peja Stojakovic,0,24,sac,55,630,0.087,0,0,0,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.416,0.876,9.9,0.179,2002
ORV,C,Vlade Divac,0,33,sac,51,630,0.081,0,0,0,80,30.3,11.1,8.4,3.7,1,1.2,0.472,0.231,0.615,7.3,0.145,2002
ORV,G,Jerry Stackhouse,0,27,det,46,630,0.073,1,0,0,76,35.3,21.4,4.1,5.3,1,0.5,0.397,0.287,0.858,5.8,0.104,2002
ORV,F,Karl Malone,0,38,uta,41,630,0.065,1,0,0,80,38,22.4,8.6,4.3,1.9,0.7,0.454,0.36,0.797,9.8,0.155,2002
ORV,G,Andre Miller,0,25,cle,32,630,0.051,0,0,0,81,37.3,16.5,4.7,10.9,1.6,0.4,0.454,0.253,0.817,10.3,0.163,2002
ORV,F,Elton Brand,0,22,lac,29,630,0.046,1,0,0,80,37.8,18.2,11.6,2.4,1,2,0.527,0,0.742,13.6,0.216,2002
ORV,G,Michael Jordan,0,38,was,29,630,0.046,0,0,0,60,34.9,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,3.3,0.075,2002
