Year,Selection,Pos,Player,Age,Tm,Pts_Won,Pts_Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FGPct,3PPct,FTPct,WS,WS/48,DWS,DBPM,DRtg
2002,ORV,G,Eric Snow,28,PHI,12,58,0.207,61,36.5,12.1,3.5,6.6,1.6,0.1,0.442,0.111,0.806,5.5,0.119,2.9,0.9,102
2002,ORV,F,Scottie Pippen,36,POR,9,58,0.155,62,32.2,10.6,5.2,5.9,1.6,0.6,0.411,0.305,0.774,3.7,0.09,2.6,1.6,102
2002,ORV,G,Tracy McGrady,22,ORL,8,58,0.138,76,38.3,25.6,7.9,5.3,1.6,1,0.451,0.364,0.748,11.5,0.189,3.4,0.4,103
2002,ORV,F,P.J. Brown,32,CHH,7,58,0.121,80,32,8.4,9.8,1.3,0.7,1,0.474,,0.858,8.2,0.154,3.6,0.2,101
2002,ORV,F,Antonio Davis,33,TOR,5,58,0.086,77,38.7,14.5,9.6,2,0.7,1.1,0.426,0,0.818,6.5,0.105,3.6,-0.4,103
2002,ORV,F,Kenyon Martin,24,NJN,5,58,0.086,73,34.3,14.9,5.3,2.6,1.2,1.7,0.463,0.224,0.678,4.9,0.093,4.2,1.4,99
2002,ORV,F,Karl Malone,38,UTA,4,58,0.069,80,38,22.4,8.6,4.3,1.9,0.7,0.454,0.36,0.797,9.8,0.155,4.3,0.8,101
2002,ORV,F,Metta World Peace,22,TOT,4,58,0.069,55,29.9,13.2,4.9,2.3,2.6,0.7,0.423,0.312,0.667,2.7,0.079,2.7,3,100
2002,ORV,G,Darrell Armstrong,33,ORL,3,58,0.052,82,33.3,12.4,3.9,5.5,1.9,0.1,0.419,0.349,0.888,7.6,0.134,2.6,0.8,105
2002,ORV,F,Brian Grant,29,MIA,3,58,0.052,72,31.3,9.3,8,1.9,0.7,0.4,0.469,0,0.849,4.8,0.103,3.7,0.7,100
2002,ORV,C,Alonzo Mourning,31,MIA,3,58,0.052,75,32.7,15.7,8.4,1.2,0.4,2.5,0.516,0.333,0.657,7.4,0.145,4.8,1.4,97
2002,ORV,C,Jermaine O'Neal,23,IND,3,58,0.052,72,37.6,19,10.5,1.6,0.6,2.3,0.479,0.071,0.688,6.4,0.113,4.1,0.2,101
2002,ORV,F,Kurt Thomas,29,NYK,3,58,0.052,82,33.8,13.9,9.1,1.1,0.9,1,0.494,0.167,0.815,6.5,0.112,3.4,0,103
2002,ORV,G,Michael Finley,28,DAL,2,58,0.034,69,39.9,20.6,5.2,3.3,0.9,0.4,0.463,0.339,0.837,6.3,0.11,1,-1.2,110
2002,ORV,F,Rick Fox,32,LAL,2,58,0.034,82,27.9,7.9,4.7,3.5,0.8,0.3,0.421,0.313,0.824,4.3,0.091,2.8,0.6,103
2002,ORV,F,Horace Grant,36,ORL,2,58,0.034,76,29.1,8,6.3,1.4,0.8,0.6,0.513,,0.721,5.6,0.122,2,-0.1,105
2002,ORV,F,Robert Horry,31,LAL,2,58,0.034,81,26.4,6.8,5.9,2.9,1,1.1,0.398,0.374,0.783,6.9,0.154,3.6,2.4,99
2002,ORV,G,Allen Iverson,26,PHI,2,58,0.034,60,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126,4.3,0.8,100
2002,ORV,F,Shawn Marion,23,PHO,2,58,0.034,81,38.4,19.1,9.9,2,1.8,1.1,0.469,0.393,0.845,9.8,0.151,5.1,1.1,100
2002,ORV,F,Ruben Patterson,26,POR,2,58,0.034,75,23.5,11.2,4,1.4,1.1,0.5,0.515,0.25,0.701,5.6,0.151,1.9,0.2,104
2002,ORV,C,David Robinson,36,SAS,2,58,0.034,78,29.5,12.2,8.3,1.2,1.1,1.8,0.507,,0.681,10.1,0.211,5.1,2.2,95
2002,ORV,F,Chris Webber,28,SAC,2,58,0.034,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2,3.9,1.6,98
2002,ORV,G,Baron Davis,22,CHH,1,58,0.017,82,40.5,18.1,4.3,8.5,2.1,0.6,0.417,0.356,0.58,8.2,0.118,3.8,0.4,104
2002,ORV,F,Dale Davis,32,POR,1,58,0.017,78,31.4,9.5,8.8,1.2,0.8,1.1,0.51,,0.708,8.5,0.168,3.1,0.1,103
2002,ORV,G,Bobby Jackson,28,SAC,1,58,0.017,81,21.6,11.1,3.1,2,0.9,0.1,0.443,0.361,0.81,5.4,0.148,2.2,0.4,103
2002,ORV,G,Eddie Jones,30,MIA,1,58,0.017,81,39,18.3,4.7,3.2,1.4,1,0.432,0.39,0.837,10.5,0.16,5,1.7,100
2002,ORV,F,Andrei Kirilenko,20,UTA,1,58,0.017,82,26.2,10.7,4.9,1.1,1.4,1.9,0.45,0.25,0.768,7.3,0.164,3.3,1.9,100
2002,ORV,F,Darius Miles,20,LAC,1,58,0.017,82,27.2,9.5,5.5,2.2,0.9,1.3,0.481,0.158,0.62,3.4,0.074,2.6,1.3,104
2002,ORV,G,Andre Miller,25,CLE,1,58,0.017,81,37.3,16.5,4.7,10.9,1.6,0.4,0.454,0.253,0.817,10.3,0.163,1.5,-0.3,109
2002,ORV,G,Paul Pierce,24,BOS,1,58,0.017,82,40.3,26.1,6.9,3.2,1.9,1,0.442,0.404,0.809,12.9,0.187,5.6,1.3,99
2002,ORV,F,Malik Rose,27,SAS,1,58,0.017,82,21,9.4,6,0.7,0.9,0.5,0.463,0.083,0.72,4.4,0.123,3.4,0.3,97
2002,ORV,G,Latrell Sprewell,31,NYK,1,58,0.017,81,41.1,19.4,3.7,3.9,1.2,0.2,0.404,0.36,0.821,2.8,0.041,1.7,-1.1,109
2002,ORV,G,John Stockton,39,UTA,1,58,0.017,82,31.3,13.4,3.2,8.2,1.9,0.3,0.517,0.321,0.857,10.7,0.2,2.6,1.3,105
2002,ORV,F,Jerome Williams,28,TOR,1,58,0.017,68,24.1,7.6,5.7,1.1,1.1,0.4,0.49,,0.676,5,0.147,2.3,0.8,102
2003,1st,C,Ben Wallace,28,DET,55,58,0.948,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,7.9,3.5,90
2003,1st,F,Kevin Garnett,26,MIN,47,58,0.81,82,40.5,23,13.4,6,1.4,1.6,0.502,0.282,0.751,15.6,0.225,5.8,2.4,98
2003,1st,F,Tim Duncan,26,SAS,44,58,0.759,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,6.9,2.5,94
2003,1st,G,Doug Christie,32,SAC,38,58,0.655,80,33.9,9.4,4.3,4.7,2.3,0.5,0.479,0.395,0.81,8.9,0.157,4.7,3.2,98
2003,1st,G,Kobe Bryant,24,LAL,35,58,0.603,82,41.5,30,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,4,0.7,103
