Year,Round,Winner,Loser,Winner_Seed,Loser_Seed,Team_1_Win%,Team_1_ORtg,Team_1_DRtg,Team_1_NRtg,Team_2_Win%,Team_2_ORtg,Team_2_DRtg,Team_2_NRtg,Team_1_Conf,Team_2_Conf
2007,Western Conf First Round,Utah Jazz,Houston Rockets,4,5,0.622,110.65,107.4,3.25,0.634,106.64,101.31,5.33,W,W
2007,Eastern Conf Semifinals,Cleveland Cavaliers,New Jersey Nets,2,6,0.61,106.15,102.1,4.05,0.5,106.45,107.43,-0.97,E,E
2007,Eastern Conf Semifinals,Detroit Pistons,Chicago Bulls,1,5,0.646,109.8,104.87,4.93,0.598,105.71,100.32,5.39,E,E
2007,Western Conf Semifinals,San Antonio Spurs,Phoenix Suns,3,2,0.707,110.11,100.64,9.47,0.744,114.68,106.9,7.78,W,W
2007,Western Conf Semifinals,Utah Jazz,Golden State Warriors,4,8,0.622,110.65,107.4,3.25,0.512,107.62,107.84,-0.22,W,W
2007,Eastern Conf Finals,Cleveland Cavaliers,Detroit Pistons,2,1,0.61,106.15,102.1,4.05,0.646,109.8,104.87,4.93,E,E
2007,Western Conf Finals,San Antonio Spurs,Utah Jazz,3,4,0.707,110.11,100.64,9.47,0.622,110.65,107.4,3.25,W,W
2007,Finals,San Antonio Spurs,Cleveland Cavaliers,3,2,0.707,110.11,100.64,9.47,0.61,106.15,102.1,4.05,W,E
2006,Eastern Conf First Round,Cleveland Cavaliers,Washington Wizards,4,5,0.61,108.49,106.01,2.48,0.512,110.01,107.93,2.08,E,E
2006,Eastern Conf First Round,Detroit Pistons,Milwaukee Bucks,1,8,0.78,111.59,103.9,7.69,0.488,106.81,107.98,-1.17,E,E
2006,Eastern Conf First Round,Miami Heat,Chicago Bulls,2,7,0.634,109.53,105.34,4.19,0.5,104.64,103.99,0.64,E,E
2006,Eastern Conf First Round,New Jersey Nets,Indiana Pacers,3,6,0.598,104.66,103.24,1.42,0.5,105.3,103.0,2.3,E,E
2006,Western Conf First Round,Dallas Mavericks,Memphis Grizzlies,4,5,0.732,112.87,105.73,7.14,0.598,107.11,102.69,4.42,W,W
2006,Western Conf First Round,Los Angeles Clippers,Denver Nuggets,6,3,0.573,106.09,104.24,1.85,0.537,106.16,106.01,0.15,W,W
2006,Western Conf First Round,Phoenix Suns,Los Angeles Lakers,2,7,0.659,112.27,106.45,5.82,0.549,109.26,106.59,2.67,W,W
2006,Western Conf First Round,San Antonio Spurs,Sacramento Kings,1,8,0.768,108.02,100.32,7.7,0.537,107.45,105.8,1.65,W,W
